OID_;COD_SITO;COD_PRELIEVO;SITO;FOGLIO;PARTICELLA;COMUNE;MATRICE;ANALITA;VALORE;STATO_SUPERAMENTI;RISCHIO;NRIC;UNITA_M_MANGIMI;UNITA_M_VEGETALI
59;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;NICHEL;1,760000000000000;0,000000000000000;2a;201579212; ;mg/kg
60;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB NDL UB (UPPER BOUND);0,500000000000000;0,000000000000000;2a;201579212; ;ng/g
61;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB-101;0,120000000000000;0,000000000000000;2a;201579212; ;ng/g
62;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB NDL LB (LOWER BOUND);0,500000000000000;0,000000000000000;2a;201579212; ;ng/g
63;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB-28;0,090000000000000;0,000000000000000;2a;201579212; ;ng/g
64;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB-52;0,090000000000000;0,000000000000000;2a;201579212; ;ng/g
65;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB-180;0,010000000000000;0,000000000000000;2a;201579212; ;ng/g
66;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB-138;0,080000000000000;0,000000000000000;2a;201579212; ;ng/g
67;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PCB-153;0,120000000000000;0,000000000000000;2a;201579212; ;ng/g
68;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PECB-105;2,210000000000000;0,000000000000000;2a;201579212; ;ng/kg
69;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PECB-114;0,245000000000000;0,000000000000000;2a;201579212; ;ng/kg
70;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PECB-118;5,220000000000000;0,000000000000000;2a;201579212; ;ng/kg
71;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PECB-123;0,020000000000000;0,000000000000000;2a;201579212; ;ng/kg
72;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;PECB-126;0,088200000000000;0,000000000000000;2a;201579212; ;ng/kg
73;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;TECB-77;0,510000000000000;0,000000000000000;2a;201579212; ;ng/kg
74;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;TECB-81;0,024500000000000;0,000000000000000;2a;201579212; ;ng/kg
75;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;O8CDF;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
76;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;O8CDD;0,093100000000000;0,000000000000000;2a;201579212; ;ng/kg
77;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,6,7,8-H6CDD;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
78;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,4,6,7,8-H7CDF;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
79;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,4,6,7,8-H7CDD;0,024500000000000;0,000000000000000;2a;201579212; ;ng/kg
80;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,4,7,8-H6CDF;0,001000000000000;0,000000000000000;2a;201579212; ;ng/kg
81;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HXCB-157;0,009000000000000;0,000000000000000;2a;201579212; ;ng/kg
82;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HXCB-156;0,608000000000000;0,000000000000000;2a;201579212; ;ng/kg
83;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,4,7,8,9-H7CDF;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
84;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HPCB-189;0,007000000000000;0,000000000000000;2a;201579212; ;ng/kg
85;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HXCB-169;0,000700000000000;0,000000000000000;2a;201579212; ;ng/kg
174;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;1,2,3,7,8-P5CDF;0,010000000000000;0,000000000000000;2a;201574220; ;ng/kg
175;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;1,2,3,4,6,7,8-H7CDD;0,043000000000000;0,000000000000000;2a;201574220; ;ng/kg
176;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCDD/F-TEQ-UB;0,026900000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
177;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCDD/F+PCB-TEQ-LB;0,046000000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
178;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCDD/F-TEQ-MB;0,022500000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
179;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCDD/F-TEQ-LB;0,018100000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
180;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCDD/F+PCB-TEQ-UB;0,055100000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
181;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCDD/F+PCB-TEQ-MB;0,055100000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
182;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCB-TEQ-LB;0,028000000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
183;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCB-TEQ-MB;0,028100000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
184;ID100F2P20;ID100F2P20;100;2,000000000000000;20;VILLA LITERNO;ERBA;WHO-PCB-TEQ-UB;0,028000000000000;0,000000000000000;2a;201574220; ;ng-TEQ/kg
185;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;2,4 DDE;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
186;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;2,4 DDT;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
187;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ESACLOROBENZENE;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
188;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;CIS - CLORDANO (ISOMERO ALFA);0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
189;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;EPTACLORO EPOSSIDO;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
190;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;EPTACLORO;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
191;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ENDRIN;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
192;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ENDOSULFAN SOLFATO;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
193;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;DIELDRIN;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
194;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;DELTA-HCH;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
195;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;2,4 DDD;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
196;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;COBALTO;0,162000000000000;0,000000000000000;2a;201579212; ;mg/kg
197;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;CADMIO;0,010000000000000;0,000000000000000;2a;201579212; ;mg/kg
198;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;BERILLIO;0,007380000000000;0,000000000000000;2a;201579212; ;mg/kg
199;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ARSENICO;0,300000000000000;0,000000000000000;2a;201579212; ;mg/kg
200;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ARSENICO;0,206000000000000;0,000000000000000;2a;201579212; ;mg/kg
201;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ANTIMONIO;0,026500000000000;0,000000000000000;2a;201579212; ;mg/kg
202;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ALDRIN;0,002000000000000;0,000000000000000;2a;201579212; ;mg/kg
203;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ALACLOR;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
204;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;4,4 DDT;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
205;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;4,4 DDE;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
206;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;4,4 DDD;0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
207;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;CROMO;0,935000000000000;0,000000000000000;2a;201579212; ;mg/kg
208;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;RAME;10,700000000000001;0,000000000000000;2a;201579212; ;mg/kg
209;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;ZINCO;42,800000000000004;0,000000000000000;2a;201579212; ;mg/kg
210;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;VANADIO;0,315000000000000;0,000000000000000;2a;201579212; ;mg/kg
211;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;URANIO;0,012000000000000;0,000000000000000;2a;201579212; ;mg/kg
212;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;TRANS - CLORDANO (ISOMERO GAMMA);0,001000000000000;0,000000000000000;2a;201579212; ;mg/kg
213;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;TALLIO;0,074100000000000;0,000000000000000;2a;201579212; ;mg/kg
214;ID105F15P129B;ID105F15P129B;105;15,000000000000000;129B;VILLA LITERNO;ERBA;SOMMATORIA  HCH;0,002000000000000;0,000000000000000;2a;201579239; ;mg/kg
215;ID111F15P5232;ID111F15P5232;111;15,000000000000000;5232;VILLA LITERNO;ERBA;ANTIMONIO;0,005710000000000;0,000000000000000;2a;201577376; ;mg/kg
86;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;HXCB-167;0,294000000000000;0,000000000000000;2a;201579212; ;ng/kg
87;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;2,3,4,6,7,8-H6CDF;0,001000000000000;0,000000000000000;2a;201579212; ;ng/kg
88;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;2,3,7,8-T4CDF;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
89;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;2,3,4,7,8-P5CDF;0,001000000000000;0,000000000000000;2a;201579212; ;ng/kg
90;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,7,8-P5CDF;0,001000000000000;0,000000000000000;2a;201579212; ;ng/kg
91;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,7,8-P5CDD;0,003000000000000;0,000000000000000;2a;201579212; ;ng/kg
92;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,7,8,9-H6CDF;0,001000000000000;0,000000000000000;2a;201579212; ;ng/kg
93;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,7,8,9-H6CDD;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
94;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,6,7,8-H6CDF;0,001000000000000;0,000000000000000;2a;201579212; ;ng/kg
95;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;2,3,7,8-T4CDD;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
96;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;1,2,3,4,7,8-H6CDD;0,002000000000000;0,000000000000000;2a;201579212; ;ng/kg
97;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCDD/F+PCB-TEQ-LB;0,026200000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
98;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCDD/F-TEQ-UB;0,017000000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
99;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCDD/F-TEQ-MB;0,008900000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
100;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCDD/F-TEQ-LB;0,000800000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
101;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCDD/F+PCB-TEQ-UB;0,042500000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
102;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCDD/F+PCB-TEQ-MB;0,042500000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
103;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCB-TEQ-UB;0,025500000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
104;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCB-TEQ-MB;0,025500000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
105;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;WHO-PCB-TEQ-LB;0,025500000000000;0,000000000000000;2a;201579212; ;ng-TEQ/kg
106;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;SOMMA BAP+BAA+BBF+CRY;1,700000000000000;0,000000000000000;2a;201579212; ;ug/kg
107;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;BENZO (A) PIRENE;0,200000000000000;0,000000000000000;2a;201579212; ;ug/kg
108;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;BENZO(B)FLUORANTENE;0,700000000000000;0,000000000000000;2a;201579212; ;ug/kg
109;ID105F15P129A;ID105F15P129A;105;15,000000000000000;129A;VILLA LITERNO;ERBA;CRISENE;0,200000000000000;0,000000000000000;2a;201579212; ;ug/kg
